unidade;ano;mes;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HJXXIII;2020;5;V;20 a 24;0,4;25;9;10,0
HJXXIII;2020;5;VI;25 a 29;0,55;1;1;0,55
HJXXIII;2020;6;III;10 a 14;0,15;32;2;4,8
HJXXIII;2020;6;IV;15 a 19;0,25;33;10;8,25
HJXXIII;2020;6;V;20 a 24;0,4;17;7;6,8
HJXXIII;2020;6;VI;25 a 29;0,55;12;8;6,6
HJXXIII;2020;6;VII;30 a 34;0,75;3;2;2,25
HJXXIII;2020;7;II;5 a 9;0,08;27;1;2,16
HJXXIII;2020;7;III;10 a 14;0,15;37;2;5,55
HJXXIII;2020;7;IV;15 a 19;0,25;31;7;7,75
HJXXIII;2020;7;V;20 a 24;0,4;13;3;5,2
HJXXIII;2020;7;VI;25 a 29;0,55;6;4;3,3
HJXXIII;2020;7;VII;30 a 34;0,75;1;1;0,75
HJXXIII;2020;7;VIII;> 34;0,85;1;1;0,85
HJXXIII;2020;8;III;10 a 14;0,15;34;4;5,1
HJXXIII;2020;8;IV;15 a 19;0,25;12;1;3,0
HJXXIII;2020;8;V;20 a 24;0,4;6;2;2,4
HJXXIII;2020;8;VI;25 a 29;0,55;3;1;1,65
HJXXIII;2020;9;II;5 a 9;0,08;32;1;2,56
HJXXIII;2020;9;III;10 a 14;0,15;25;2;3,75
HJXXIII;2020;9;IV;15 a 19;0,25;17;3;4,25
HJXXIII;2020;9;V;20 a 24;0,4;12;4;4,8
HJXXIII;2020;9;VI;25 a 29;0,55;5;1;2,75
HJXXIII;2020;9;VII;30 a 34;0,75;2;2;1,5
