excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
04/2019;HAC;2019,0;4,0;VII;30 a 34;75,0;0,0;0,0;0,0
04/2019;HAC;2019,0;4,0;VIII;> 34;85,0;1,0;0,85;0,0
04/2019;HEM;2019,0;4,0;I;0 a 4;4,0;0,0;0,0;0,0
04/2019;HEM;2019,0;4,0;II;5 a 9;8,0;5,0;0,4;0,0
04/2019;HEM;2019,0;4,0;III;10 a 14;15,0;16,0;2,4;2,0
04/2019;HEM;2019,0;4,0;IV;15 a 19;25,0;12,0;3,0;2,0
04/2019;HEM;2019,0;4,0;V;20 a 24;40,0;2,0;0,8;0,0
04/2019;HEM;2019,0;4,0;VI;25 a 29;55,0;4,0;2,2;1,0
04/2019;HEM;2019,0;4,0;VII;30 a 34;75,0;1,0;0,75;1,0
04/2019;HEM;2019,0;4,0;VIII;> 34;85,0;2,0;1,7;2,0
04/2019;HJK;2019,0;4,0;I;0 a 4;4,0;112,0;4,5;8,0
04/2019;HJK;2019,0;4,0;II;5 a 9;8,0;221,0;17,7;23,0
04/2019;HJK;2019,0;4,0;III;10 a 14;15,0;272,0;40,95;15,0
04/2019;HJK;2019,0;4,0;IV;15 a 19;25,0;284,0;71,1;34,0
04/2019;HJK;2019,0;4,0;V;20 a 24;40,0;173,0;69,2;34,0
04/2019;HJK;2019,0;4,0;VI;25 a 29;55,0;79,0;43,55;26,0
04/2019;HJK;2019,0;4,0;VII;30 a 34;75,0;43,0;32,35;21,0
04/2019;HJK;2019,0;4,0;VIII;> 34;85,0;22,0;18,8;17,0
04/2019;HJXXIII;2019,0;4,0;I;0 a 4;4,0;2,0;0,08;0,0
04/2019;HJXXIII;2019,0;4,0;II;5 a 9;8,0;9,0;0,72;1,0
04/2019;HJXXIII;2019,0;4,0;III;10 a 14;15,0;36,0;5,4;1,0
04/2019;HJXXIII;2019,0;4,0;IV;15 a 19;25,0;26,0;6,5;1,0
04/2019;HJXXIII;2019,0;4,0;V;20 a 24;40,0;19,0;7,6;6,0
04/2019;HJXXIII;2019,0;4,0;VI;25 a 29;55,0;11,0;6,05;5,0
04/2019;HJXXIII;2019,0;4,0;VII;30 a 34;75,0;5,0;3,75;1,0
04/2019;HJXXIII;2019,0;4,0;VIII;> 34;85,0;1,0;0,85;1,0
04/2019;HRAD;2019,0;4,0;I;0 a 4;4,0;3,0;0,12;0,0
04/2019;HRAD;2019,0;4,0;II;5 a 9;8,0;15,0;1,2;0,0
04/2019;HRAD;2019,0;4,0;III;10 a 14;15,0;14,0;2,1;0,0
04/2019;HRAD;2019,0;4,0;IV;15 a 19;25,0;11,0;2,75;1,0
04/2019;HRAD;2019,0;4,0;V;20 a 24;40,0;10,0;4,0;3,0
04/2019;HRAD;2019,0;4,0;VI;25 a 29;55,0;7,0;3,85;5,0
04/2019;HRAD;2019,0;4,0;VII;30 a 34;75,0;3,0;2,25;1,0
04/2019;HRAD;2019,0;4,0;VIII;> 34;85,0;2,0;1,7;2,0
04/2019;HRBJA;2019,0;4,0;I;0 a 4;4,0;0,0;0,0;0,0
04/2019;HRBJA;2019,0;4,0;II;5 a 9;8,0;0,0;0,0;0,0
04/2019;HRBJA;2019,0;4,0;III;10 a 14;15,0;0,0;0,0;0,0
04/2019;HRBJA;2019,0;4,0;IV;15 a 19;25,0;0,0;0,0;0,0
04/2019;HRBJA;2019,0;4,0;V;20 a 24;40,0;0,0;0,0;0,0
04/2019;HRBJA;2019,0;4,0;VI;25 a 29;55,0;0,0;0,0;0,0
04/2019;HRBJA;2019,0;4,0;VII;30 a 34;75,0;0,0;0,0;0,0
04/2019;HRBJA;2019,0;4,0;VIII;> 34;85,0;0,0;0,0;0,0
04/2019;HRJP;2019,0;4,0;I;0 a 4;4,0;1,0;0,04;0,0
04/2019;HRJP;2019,0;4,0;II;5 a 9;8,0;5,0;0,4;0,0
04/2019;HRJP;2019,0;4,0;III;10 a 14;15,0;18,0;2,7;2,0
04/2019;HRJP;2019,0;4,0;IV;15 a 19;25,0;11,0;2,75;4,0
04/2019;HRJP;2019,0;4,0;V;20 a 24;40,0;1,0;0,4;1,0
04/2019;HRJP;2019,0;4,0;VI;25 a 29;55,0;0,0;0,0;0,0
04/2019;HRJP;2019,0;4,0;VII;30 a 34;75,0;0,0;0,0;0,0
